x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,1.0,409.2,172.814304,32.753169078982296,4.224072671932662,4.815368644201815
28.0,99.0,1.0,446.4,170.899248,33.34942062662111,4.224008038792662,4.815368644201815
28.0,99.0,1.0,483.6,168.98419199999998,33.944950516806756,4.223943405652663,4.815368644201815
28.0,99.0,1.0,520.8,167.069136,34.53976033389211,4.223878772512663,4.815368644201815
28.0,99.0,1.0,558.0,165.15408,35.13301288247458,4.223814139372663,4.815368644201815
28.0,99.0,1.1,0.0,193.87992,34.62435211061357,4.2247836364726625,4.815368644201815
28.0,99.0,1.1,37.2,191.964864,34.32957285097575,4.2247190033326625,4.815368644201815
28.0,99.0,1.1,74.4,190.049808,34.073689817505645,4.224654370192662,4.815368644201815
28.0,99.0,1.1,111.6,188.134752,33.84651968363414,4.224589737052663,4.815368644201815
28.0,99.0,1.1,148.8,186.219696,33.64025100090879,4.224525103912662,4.815368644201815
28.0,99.0,1.1,186.0,184.30464,33.451521784620596,4.224460470772662,4.815368644201815
28.0,99.0,1.1,223.2,182.389584,33.276778583802226,4.224395837632662,4.815368644201815
28.0,99.0,1.1,260.4,180.47452800000002,33.11472671410254,4.224331204492662,4.815368644201815
28.0,99.0,1.1,297.6,178.559472,33.0659116230143,4.224266571352663,4.815368644201815
28.0,99.0,1.1,334.8,176.644416,33.70782943792952,4.224201938212663,4.815368644201815
28.0,99.0,1.1,372.0,174.72935999999999,34.35195447890463,4.224137305072663,4.815368644201815
28.0,99.0,1.1,409.2,172.814304,34.99738980221714,4.224072671932662,4.815368644201815
28.0,99.0,1.1,446.4,170.899248,35.64344008310597,4.224008038792662,4.815368644201815
28.0,99.0,1.1,483.6,168.98419199999998,36.28876870654162,4.223943405652663,4.815368644201815
28.0,99.0,1.1,520.8,167.069136,36.93337725687696,4.223878772512663,4.815368644201815
28.0,99.0,1.1,558.0,165.15408,37.57642853870943,4.223814139372663,4.815368644201815
28.0,99.0,1.2,0.0,193.87992,36.712686085613576,4.2247836364726625,4.815368644201815
28.0,99.0,1.2,37.2,191.964864,36.41790682597574,4.2247190033326625,4.815368644201815
28.0,99.0,1.2,74.4,190.049808,36.162023792505636,4.224654370192662,4.815368644201815
28.0,99.0,1.2,111.6,188.134752,35.93485365863414,4.224589737052663,4.815368644201815
28.0,99.0,1.2,148.8,186.219696,35.728584975908795,4.224525103912662,4.815368644201815
28.0,99.0,1.2,186.0,184.30464,35.53985575962059,4.224460470772662,4.815368644201815
28.0,99.0,1.2,223.2,182.389584,35.365112558802224,4.224395837632662,4.815368644201815
28.0,99.0,1.2,260.4,180.47452800000002,35.203060689102536,4.224331204492662,4.815368644201815
28.0,99.0,1.2,297.6,178.559472,35.16073614649915,4.224266571352663,4.815368644201815
28.0,99.0,1.2,334.8,176.644416,35.852452694664365,4.224201938212663,4.815368644201815
28.0,99.0,1.2,372.0,174.72935999999999,36.546376468889484,4.224137305072663,4.815368644201815
28.0,99.0,1.2,409.2,172.814304,37.24161052545198,4.224072671932662,4.815368644201815
28.0,99.0,1.2,446.4,170.899248,37.93745953959081,4.224008038792662,4.815368644201815
28.0,99.0,1.2,483.6,168.98419199999998,38.63258689627645,4.223943405652663,4.815368644201815
28.0,99.0,1.2,520.8,167.069136,39.326994179861806,4.223878772512663,4.815368644201815
28.0,99.0,1.2,558.0,165.15408,40.01984419494428,4.223814139372663,4.815368644201815
28.0,140.0,0.5,0.0,206.67192000000003,21.86078732640798,4.741709181035896,5.090228544201816
28.0,140.0,0.5,37.2,203.96376,21.49800936353347,4.741617780635895,5.090228544201816
28.0,140.0,0.5,74.4,201.2556,21.188846592043657,4.7415263802358965,5.090228544201816
28.0,140.0,0.5,111.6,198.54744,20.917561026246535,4.741434979835896,5.090228544201816
28.0,140.0,0.5,148.8,195.83928,20.674710672451788,4.741343579435896,5.090228544201816
28.0,140.0,0.5,186.0,193.13112,20.455724778771515,4.741252179035897,5.090228544201816
28.0,140.0,0.5,223.2,190.42296,20.257242918314855,4.741160778635896,5.090228544201816
28.0,140.0,0.5,260.4,187.71480000000003,20.075995540681912,4.7410693782358955,5.090228544201816
28.0,140.0,0.5,297.6,185.00664,19.90682391694477,4.740977977835895,5.090228544201816
28.0,140.0,0.5,334.8,182.29848,20.140984510647435,4.740886577435895,5.090228544201816
28.0,140.0,0.5,372.0,179.59032,20.452469486348065,4.740795177035896,5.090228544201816
28.0,140.0,0.5,409.2,176.88216000000003,20.762566383335734,4.740703776635895,5.090228544201816
